@relation whatever

@attribute A { 0 , 1 } 
@attribute S { 1 , 0 } 
@attribute J { 0 , 1 } 
@attribute O { 0 , 1 } 
@attribute R { 0 , 1 } 


@data
0 , 0 , 1 , 0 , 0 
0 , 0 , 1 , 0 , 0 
0 , 0 , 1 , 0 , 0 
0 , 0 , 1 , 0 , 0 
0 , 0 , 1 , 0 , 0 
0 , 0 , 1 , 0 , 0 
0 , 0 , 1 , 0 , 0 
0 , 0 , 1 , 0 , 0 
0 , 0 , 1 , 0 , 0 
0 , 0 , 1 , 0 , 0 
0 , 0 , 1 , 0 , 0 
0 , 1 , 0 , 0 , 0 
0 , 0 , 1 , 0 , 0 
0 , 1 , 0 , 0 , 0 
1 , 0 , 0 , 0 , 0 
0 , 0 , 1 , 0 , 0 
0 , 0 , 1 , 0 , 0 
0 , 0 , 1 , 0 , 0 
0 , 1 , 0 , 0 , 0 
0 , 0 , 1 , 0 , 0 
0 , 0 , 1 , 0 , 0 
1 , 1 , 0 , 1 , 1 
1 , 0 , 0 , 0 , 0 
1 , 1 , 1 , 0 , 1 
1 , 0 , 0 , 0 , 0 
0 , 0 , 1 , 0 , 0 
0 , 0 , 1 , 0 , 0 
0 , 0 , 1 , 0 , 0 
1 , 1 , 0 , 1 , 1 
0 , 0 , 1 , 0 , 0 
0 , 0 , 1 , 0 , 0 
1 , 1 , 1 , 1 , 1 
0 , 0 , 1 , 0 , 0 
0 , 0 , 1 , 0 , 0 
0 , 1 , 1 , 0 , 0 
0 , 0 , 1 , 0 , 0 
0 , 0 , 1 , 0 , 0 
0 , 0 , 1 , 0 , 0 
0 , 0 , 1 , 0 , 0 
0 , 0 , 1 , 0 , 0 
0 , 0 , 1 , 0 , 0 
0 , 0 , 1 , 0 , 0 
0 , 0 , 1 , 0 , 0 
0 , 0 , 1 , 0 , 0 
0 , 0 , 1 , 0 , 0 
0 , 0 , 1 , 0 , 0 
0 , 0 , 1 , 0 , 0 
0 , 0 , 1 , 0 , 0 
0 , 0 , 1 , 0 , 0 
0 , 0 , 1 , 0 , 0 
0 , 0 , 1 , 0 , 0 
0 , 0 , 1 , 0 , 0 
0 , 0 , 1 , 0 , 0 
0 , 0 , 1 , 0 , 0 
0 , 0 , 1 , 0 , 0 
1 , 1 , 0 , 1 , 1 
0 , 0 , 1 , 0 , 0 
0 , 1 , 0 , 0 , 0 
0 , 0 , 1 , 0 , 0 
0 , 0 , 1 , 0 , 0 
0 , 0 , 1 , 0 , 0 
1 , 1 , 0 , 1 , 1 
1 , 0 , 0 , 0 , 0 
0 , 1 , 1 , 1 , 1 
0 , 0 , 1 , 0 , 0 
1 , 1 , 1 , 1 , 1 
1 , 0 , 0 , 0 , 0 
0 , 1 , 0 , 0 , 0 
1 , 0 , 0 , 0 , 0 
0 , 0 , 1 , 0 , 0 
0 , 0 , 1 , 0 , 0 
1 , 0 , 1 , 0 , 0 
1 , 1 , 1 , 1 , 1 
0 , 0 , 1 , 0 , 0 
0 , 0 , 1 , 0 , 0 
0 , 0 , 1 , 0 , 0 
0 , 0 , 1 , 0 , 0 
0 , 1 , 1 , 1 , 1 
0 , 0 , 1 , 0 , 0 
0 , 0 , 1 , 0 , 0 
0 , 0 , 1 , 0 , 0 
0 , 0 , 1 , 0 , 0 
1 , 0 , 1 , 0 , 0 
0 , 0 , 1 , 0 , 0 
0 , 0 , 1 , 0 , 0 
0 , 0 , 1 , 0 , 0 
0 , 0 , 1 , 0 , 0 
0 , 0 , 1 , 0 , 0 
1 , 1 , 1 , 1 , 1 
0 , 0 , 1 , 0 , 0 
0 , 0 , 1 , 0 , 0 
1 , 1 , 0 , 1 , 1 
0 , 1 , 0 , 1 , 1 
1 , 0 , 0 , 0 , 0 
0 , 0 , 1 , 0 , 0 
0 , 0 , 1 , 0 , 0 
0 , 0 , 1 , 0 , 0 
1 , 0 , 0 , 0 , 0 
1 , 1 , 1 , 1 , 1 
0 , 0 , 1 , 0 , 0 
0 , 0 , 1 , 0 , 0 
0 , 0 , 1 , 0 , 0 
0 , 0 , 1 , 0 , 0 
0 , 0 , 1 , 0 , 0 
0 , 1 , 1 , 0 , 0 
0 , 0 , 1 , 0 , 0 
0 , 0 , 1 , 0 , 0 
0 , 0 , 1 , 0 , 0 
0 , 0 , 1 , 0 , 0 
1 , 0 , 1 , 0 , 0 
0 , 1 , 1 , 1 , 1 
0 , 1 , 1 , 1 , 1 
1 , 1 , 1 , 1 , 1 
0 , 0 , 1 , 0 , 0 
1 , 1 , 1 , 1 , 1 
0 , 0 , 1 , 0 , 0 
1 , 1 , 0 , 1 , 1 
0 , 0 , 1 , 0 , 0 
0 , 0 , 1 , 0 , 0 
1 , 1 , 0 , 1 , 1 
0 , 1 , 0 , 0 , 0 
1 , 1 , 1 , 1 , 1 
0 , 1 , 1 , 1 , 1 
0 , 1 , 1 , 1 , 1 
1 , 1 , 1 , 1 , 1 
1 , 0 , 0 , 0 , 0 
0 , 1 , 1 , 1 , 1 
0 , 1 , 1 , 1 , 1 
0 , 1 , 1 , 0 , 1 
0 , 1 , 0 , 1 , 1 
0 , 0 , 1 , 0 , 0 
0 , 1 , 1 , 1 , 1 
0 , 1 , 1 , 1 , 1 
1 , 1 , 1 , 1 , 1 
0 , 1 , 0 , 1 , 1 
0 , 1 , 0 , 1 , 1 
1 , 1 , 1 , 1 , 1 
1 , 1 , 1 , 1 , 1 
0 , 1 , 1 , 0 , 0 
1 , 1 , 1 , 1 , 1 
1 , 0 , 1 , 0 , 0 
1 , 1 , 1 , 1 , 1 
0 , 0 , 1 , 0 , 0 
1 , 1 , 0 , 1 , 1 
0 , 0 , 1 , 0 , 0 
0 , 1 , 0 , 1 , 1 
1 , 0 , 0 , 0 , 0 
